lvl2: 	EmulationStation - v2.0.1a, built Aug  2 2015 - 15:33:54
lvl2: 	Creating surface...
lvl2: 	Created window successfully.
lvl2: 	Added known joystick Sony Computer Entertainment Wireless Controller (instance ID: 0, device index: 0)
lvl2: 	Added unconfigured joystick retronicdesign.com Retro Joystick Adapter v3.0 (GUID: 03000000c0160000990a000001010000, instance ID: 1, device index: 1).
lvl2: 	Checking available OpenGL extensions...
lvl2: 	 ARB_texture_non_power_of_two: MISSING
lvl2: 	Loading system config file /etc/emulationstation/es_systems.cfg...
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/amiga/gamelist.xml"...
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/amstradcpc/gamelist.xml"...
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/apple2/gamelist.xml"...
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/atari2600/gamelist.xml"...
lvl1: 	System "atari2600" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/atari5200/gamelist.xml"...
lvl1: 	System "atari5200" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/atari7800/gamelist.xml"...
lvl1: 	System "atari7800" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/atari800/gamelist.xml"...
lvl1: 	System "atari800" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/atarilynx/gamelist.xml"...
lvl1: 	System "atarilynx" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/atarist/gamelist.xml"...
lvl1: 	System "atarist" has no games! Ignoring it.
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/c64/gamelist.xml"...
lvl1: 	System "c64" has no games! Ignoring it.
lvl1: 	  Unknown platform for system "coco" (platform "coco" from list "coco")
lvl2: 	Parsing XML file "/home/pi/.emulationstation/gamelists/coco/gamelist.xml"...
